# A tibble: 21 × 10
   cluster_number cluster_size mor_hat se_mor_hat sigma_b2_hat beta0_hat beta1_hat beta2_hat coverage sim_se_mor_hat
            <dbl>        <dbl>   <dbl>      <dbl>        <dbl>     <dbl>     <dbl>     <dbl>    <dbl>          <dbl>
 1             30            5    6.79       2.15         3.20      2.17      1.86     0.728    0.994         26.8  
 2             50            5    5.06       1.56         2.78      2.07      1.83     0.743    0.976          2.31 
 3            100            5    4.57       1.33         2.48      2.02      1.79     0.684    0.921          1.55 
 4             30           10    4.83       1.45         2.62      2.09      1.85     0.671    0.967          2.14 
 5             50           10    4.62       1.32         2.50      2.01      1.76     0.630    0.821          1.73 
 6            100           10    4.57       1.22         2.51      2.01      1.76     0.665    0.606          0.972
 7             30           15    4.53       1.36         2.44      2.02      1.78     0.710    0.939          1.71 
 8             50           15    4.77       1.28         2.63      2.00      1.77     0.708    0.778          1.41 
 9            100           15    4.49       1.18         2.46      2.03      1.73     0.667    0.581          0.728
10             30           20    4.47       1.32         2.42      2.04      1.76     0.695    0.913          1.26 
11             50           20    4.37       1.24         2.37      1.98      1.75     0.658    0.868          0.876
12            100           20    4.69       1.17         2.61      2.01      1.76     0.704    0.449          0.684
13             30           30    4.69       1.29         2.55      2.07      1.84     0.672    0.827          1.77 
14             50           30    4.53       1.22         2.48      2.00      1.77     0.678    0.723          0.979
15            100           30    4.61       1.15         2.56      2.00      1.75     0.674    0.267          0.633
16             30           40    4.61       1.28         2.53      1.97      1.75     0.689    0.843          1.25 
17             50           40    4.45       1.20         2.43      2.00      1.76     0.697    0.715          0.782
18            100           40    4.40       1.14         2.41      1.93      1.73     0.669    0.316          0.502
19             30           50    4.62       1.26         2.54      2.05      1.76     0.640    0.831          1.24 
20             50           50    4.41       1.19         2.40      2.03      1.76     0.656    0.736          0.778
21            100           50    4.48       1.14         2.46      2.00      1.76     0.661    0.291          0.468
